Snapshot,Snapshot UTC,GW,GW finished,ID,Player,Team,Pos,Price,Owned %,Form,Total pts,GW pts,PPG,Minutes,Starts,Goals,Assists,xG,xA,xGI,DEFCON,DEFCON per 90,Bonus,Exp pts next,Status,Chance next GW,Transfers in (GW),Transfers out (GW),Price change (GW),Pens order,Corners/IFK order,Direct FK order,Rise/fall %,Change likelihood
2026-08-28,2026-08-28 15:24,1,True,25,Gyökeres,ARS,FWD,7.4,6.7,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.3,Available,,8479,223350,-0.1,2.0,,,-32.5,-2
2026-08-28,2026-08-28 15:24,1,True,26,Havertz,ARS,FWD,7.5,7.5,6.0,6,6,6.0,90,1,1,0,0.26,0.03,0.29,2,2.0,0,2.4,Available,,178869,36139,0.0,,,,71.9,3
2026-08-28,2026-08-28 15:24,1,True,27,G.Jesus,ARS,FWD,6.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,Available,,1831,6911,0.0,,,,-81.5,-3
2026-08-28,2026-08-28 15:24,1,True,28,Martinez,AVL,GKP,5.0,4.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.6,Available,,13466,54095,0.0,,,,-50.6,-3
2026-08-28,2026-08-28 15:24,1,True,29,M.Bizot,AVL,GKP,4.5,0.1,1.0,1,1,1.0,90,1,0,0,0.0,0.0,0.0,0,0.0,0,1.9,Available,,797,821,0.0,,,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,30,Digne,AVL,DEF,4.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Unavailable,0.0,0,4866,0.0,,,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,31,Konsa,ARS,DEF,4.5,10.8,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,47116,220186,0.0,,,,-86.3,-3
2026-08-28,2026-08-28 15:24,1,True,32,Cash,AVL,DEF,4.5,7.6,-1.0,-1,-1,-1.0,90,1,0,0,0.0,0.0,0.0,7,7.0,0,1.7,Available,,26569,100629,0.0,,1.0,,-41.5,-3
2026-08-28,2026-08-28 15:24,1,True,33,Mings,AVL,DEF,4.5,0.4,1.0,1,1,1.0,16,0,0,0,0.0,0.0,0.0,1,5.62,0,1.7,Available,,3175,3346,0.0,,,,0.2,1
2026-08-28,2026-08-28 15:24,1,True,34,Pau,AVL,DEF,4.5,0.4,0.0,0,0,0.0,73,1,0,0,0.0,0.0,0.0,5,6.16,0,1.7,Available,,1808,4800,0.0,,,,-31.7,-2
2026-08-28,2026-08-28 15:24,1,True,35,Bogarde,AVL,MID,5.0,0.1,1.0,1,1,1.0,16,0,0,0,0.0,0.0,0.0,1,5.62,0,1.5,Available,,616,924,0.0,,,,-13.2,-1
2026-08-28,2026-08-28 15:24,1,True,36,Maatsen,AVL,DEF,4.5,0.7,0.0,0,0,0.0,81,1,0,0,0.03,0.0,0.03,9,10.0,0,1.7,Available,,2482,8396,0.0,,,,-35.6,-2
2026-08-28,2026-08-28 15:24,1,True,37,Lindelöf,AVL,DEF,4.5,0.3,-2.0,-2,-2,-2.0,90,1,0,0,0.0,0.0,0.0,3,3.0,0,1.7,Available,,1738,3829,0.0,,,,-34.9,-2
2026-08-28,2026-08-28 15:24,1,True,38,A.García,AVL,DEF,4.0,1.7,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,Available,,7063,13352,0.0,,,,-11.2,-1
2026-08-28,2026-08-28 15:24,1,True,39,Nedeljkovic,AVL,DEF,4.0,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Unavailable,0.0,0,6972,0.0,,,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,40,Rogers,CHE,MID,7.5,26.2,8.0,8,8,8.0,81,1,1,0,0.96,0.1,1.06,7,7.78,1,2.6,Available,,237168,66911,0.0,,4.0,,81.6,3
2026-08-28,2026-08-28 15:24,1,True,41,Buendía,AVL,MID,6.0,1.2,2.0,2,2,2.0,85,1,0,0,0.13,0.09,0.22,7,7.41,0,2.2,Available,,4826,20444,0.0,1.0,3.0,1.0,-66.7,-3
2026-08-28,2026-08-28 15:24,1,True,42,Guessand,CRY,MID,5.5,0.0,1.0,1,1,1.0,27,0,0,0,0.03,0.02,0.05,1,3.33,0,2.0,Available,,443,595,0.0,,,,-13.0,-1
2026-08-28,2026-08-28 15:24,1,True,43,Tielemans,MUN,MID,6.0,2.4,2.0,2,2,2.0,66,1,0,0,0.04,0.11,0.15,5,6.82,0,2.2,Available,100.0,12074,33914,0.0,3.0,,,-45.0,-3
2026-08-28,2026-08-28 15:24,1,True,44,Bailey,AVL,MID,5.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,Available,,964,2535,0.0,,,,-51.1,-3
2026-08-28,2026-08-28 15:24,1,True,45,McGinn,AVL,MID,5.5,2.8,1.0,1,1,1.0,81,1,0,0,0.04,0.01,0.05,6,6.67,0,2.0,Available,,7342,42036,0.0,,2.0,,-59.6,-3
2026-08-28,2026-08-28 15:24,1,True,46,Barkley,AVL,MID,5.0,0.2,2.0,2,2,2.0,73,1,0,0,0.1,0.02,0.12,1,1.23,0,1.5,Available,,1765,2566,0.0,,4.0,,-11.6,-1
2026-08-28,2026-08-28 15:24,1,True,47,Kamara,AVL,MID,5.0,0.3,2.0,2,2,2.0,90,1,0,0,0.0,0.0,0.0,7,7.0,0,1.5,Available,100.0,2422,4515,0.0,,,,-24.5,-2
2026-08-28,2026-08-28 15:24,1,True,48,Onana,AVL,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,148,512,0.0,,,,-31.7,-2
2026-08-28,2026-08-28 15:24,1,True,49,Iling Jr,AVL,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Unavailable,0.0,0,118,0.0,,,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,50,Burrowes,AVL,MID,4.5,0.7,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,Available,,3390,6508,0.0,,,,-15.3,-1
2026-08-28,2026-08-28 15:24,1,True,51,George Hemmings,AVL,MID,4.5,0.7,2.0,2,2,2.0,90,1,0,0,0.0,0.0,0.0,5,5.0,0,1.0,Available,,8148,5184,0.0,,,,1.2,1
2026-08-28,2026-08-28 15:24,1,True,52,Alysson,AVL,MID,5.0,0.0,1.0,1,1,1.0,8,0,0,0,0.0,0.0,0.0,3,33.75,0,1.5,Available,,332,563,0.0,,,,-19.7,-1
2026-08-28,2026-08-28 15:24,1,True,53,Manzambi,AVL,MID,6.0,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,223,8546,0.0,,,,-86.1,-3
2026-08-28,2026-08-28 15:24,1,True,54,Gomes,AVL,MID,5.5,0.1,-2.0,-2,-2,-2.0,39,1,0,0,0.0,0.01,0.01,7,16.15,0,0.0,Suspended,0.0,149,1827,0.0,,,,-0.0,0
2026-08-28,2026-08-28 15:24,1,True,55,Watkins,AVL,FWD,7.9,7.7,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.4,Available,,10466,254637,-0.1,2.0,,,-35.8,-2
2026-08-28,2026-08-28 15:24,1,True,56,Abraham,AVL,FWD,5.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.3,Doubtful,75.0,576,2537,0.0,,,,-51.7,-3
2026-08-28,2026-08-28 15:24,1,True,57,Petrović,BOU,GKP,4.5,3.3,2.0,2,2,2.0,90,1,0,0,0.0,0.0,0.0,0,0.0,0,1.9,Available,,23539,13219,0.0,,,,4.5,1
2026-08-28,2026-08-28 15:24,1,True,58,Forster,BOU,GKP,4.0,3.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,Available,,8985,10079,0.0,,,,-1.0,-1
2026-08-28,2026-08-28 15:24,1,True,59,Dennis,BOU,GKP,4.0,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Unavailable,0.0,1133,1393,0.0,,,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,60,Hill,BOU,DEF,5.5,0.9,1.0,1,1,1.0,90,1,0,0,0.0,0.0,0.0,6,6.0,0,2.5,Available,,8551,6404,0.0,,,,1.6,1
2026-08-28,2026-08-28 15:24,1,True,61,Truffert,BOU,DEF,5.5,4.2,1.0,1,1,1.0,90,1,0,0,0.0,0.0,0.0,7,7.0,0,2.5,Available,,19279,24394,0.0,,,,-0.6,-1
2026-08-28,2026-08-28 15:24,1,True,62,Diakité,BOU,DEF,5.0,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.2,Available,,2631,2238,0.0,,,,0.4,1
2026-08-28,2026-08-28 15:24,1,True,63,Milosavljević,BOU,DEF,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,73,285,0.0,,,,-37.1,-2
2026-08-28,2026-08-28 15:24,1,True,64,Smith,BOU,DEF,4.5,0.1,1.0,1,1,1.0,90,1,0,0,0.0,0.0,0.0,5,5.0,0,1.7,Available,,2671,969,0.0,,,,0.9,1
2026-08-28,2026-08-28 15:24,1,True,65,J.Araujo,BOU,DEF,4.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,82,492,0.0,,,,-49.8,-3
2026-08-28,2026-08-28 15:24,1,True,66,Soler,BOU,DEF,4.0,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.8,Doubtful,75.0,403,2355,0.0,,,,-24.5,-2
2026-08-28,2026-08-28 15:24,1,True,67,Rayan,BOU,MID,6.5,2.8,2.0,2,2,2.0,88,1,0,0,0.04,0.03,0.07,1,1.02,0,2.3,Available,,22339,20974,0.0,,,,2.1,1
2026-08-28,2026-08-28 15:24,1,True,68,Tavernier,BOU,MID,6.0,2.5,10.0,10,10,10.0,90,1,1,0,0.4,0.08,0.48,8,8.0,3,2.2,Available,,78424,11595,0.0,3.0,1.0,1.0,31.5,2
2026-08-28,2026-08-28 15:24,1,True,69,Scott,BOU,MID,6.0,1.5,2.0,2,2,2.0,90,1,0,0,0.0,0.01,0.01,11,11.0,0,2.2,Available,,8040,12233,0.0,,2.0,4.0,-9.9,-1
2026-08-28,2026-08-28 15:24,1,True,70,Kluivert,BOU,MID,6.0,1.2,3.0,3,3,3.0,74,1,0,0,0.11,0.0,0.11,9,10.95,0,2.2,Available,,14999,9078,0.0,2.0,3.0,2.0,3.6,1
2026-08-28,2026-08-28 15:24,1,True,71,Cook,BOU,MID,5.0,0.2,3.0,3,3,3.0,75,1,0,0,0.0,0.0,0.0,7,8.4,0,1.5,Available,,3018,1613,0.0,,5.0,,0.8,1
2026-08-28,2026-08-28 15:24,1,True,72,Gannon-Doak,BOU,MID,5.0,0.1,1.0,1,1,1.0,1,0,0,0,0.0,0.0,0.0,1,90.0,0,1.5,Available,,354,800,0.0,,,,-22.3,-2
2026-08-28,2026-08-28 15:24,1,True,73,Adams,BOU,MID,5.0,0.2,1.0,1,1,1.0,15,0,0,0,0.0,0.0,0.0,3,18.0,0,1.5,Available,100.0,2872,2800,0.0,,,,0.2,1
2026-08-28,2026-08-28 15:24,1,True,74,Brooks,BOU,MID,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.5,Available,100.0,563,674,0.0,,4.0,3.0,-4.7,-1
2026-08-28,2026-08-28 15:24,1,True,75,Christie,BOU,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.5,Available,100.0,510,187,0.0,,6.0,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,76,Tóth.A,BOU,MID,5.0,0.0,1.0,1,1,1.0,15,0,0,0,0.0,0.0,0.0,2,12.0,0,1.5,Available,,93,140,0.0,,,,-10.0,-1
2026-08-28,2026-08-28 15:24,1,True,77,Adli,BOU,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,51,946,0.0,,,,-75.4,-3
2026-08-28,2026-08-28 15:24,1,True,78,Kroupi.Jr,BOU,MID,7.5,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,451,12912,0.0,1.0,,,-78.3,-3
2026-08-28,2026-08-28 15:24,1,True,79,Evanilson,BOU,FWD,6.0,3.0,4.0,4,4,4.0,74,1,0,1,0.0,0.21,0.21,8,9.73,0,2.0,Available,,67434,17933,0.0,,,,25.1,2
2026-08-28,2026-08-28 15:24,1,True,80,Enes Ünal,BOU,FWD,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Unavailable,0.0,0,1042,0.0,,,,0.0,0
2026-08-28,2026-08-28 15:24,1,True,81,Rodríguez,BOU,FWD,6.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,Available,100.0,945,1146,0.0,,,,-5.7,-1
2026-08-28,2026-08-28 15:24,1,True,82,Kelleher,BRE,GKP,5.0,6.5,7.0,7,7,7.0,90,1,0,0,0.0,0.01,0.01,0,0.0,0,2.6,Available,,70828,18795,0.0,,,,20.1,2
2026-08-28,2026-08-28 15:24,1,True,83,Valdimarsson,BRE,GKP,4.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.9,Available,,618,854,0.0,,,,-10.7,-1
2026-08-28,2026-08-28 15:24,1,True,84,Collins,BRE,DEF,5.5,2.1,6.0,6,6,6.0,90,1,0,0,0.34,0.04,0.38,3,3.0,0,2.5,Available,,23907,8813,0.0,,,,7.4,1
2026-08-28,2026-08-28 15:24,1,True,85,Van den Berg,BRE,DEF,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,141,4017,0.0,,,,-70.5,-3
2026-08-28,2026-08-28 15:24,1,True,86,Lewis-Potter,BRE,MID,5.5,1.1,10.0,10,10,10.0,90,1,1,0,0.77,0.12,0.89,10,10.0,2,2.0,Available,,47861,6324,0.0,,,1.0,20.9,2
2026-08-28,2026-08-28 15:24,1,True,87,Ajer,BRE,DEF,4.5,4.1,8.0,8,8,8.0,90,1,0,0,0.11,0.02,0.13,10,10.0,0,1.7,Available,,64360,12965,0.0,,,,22.5,2
2026-08-28,2026-08-28 15:24,1,True,88,Kayode,BRE,DEF,4.6,7.6,13.0,13,13,13.0,75,1,1,0,0.5,0.0,0.5,4,4.8,1,1.9,Available,,298176,19977,0.1,,,,7.6,1
2026-08-28,2026-08-28 15:24,1,True,89,Henry,BRE,DEF,4.5,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,523,2047,0.0,,,,-26.3,-2
2026-08-28,2026-08-28 15:24,1,True,90,Hickey,BRE,DEF,4.5,0.1,1.0,1,1,1.0,14,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,598,514,0.0,,,,0.1,1
2026-08-28,2026-08-28 15:24,1,True,91,Pinnock,COV,DEF,4.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,495,916,0.0,,,,-21.6,-2
2026-08-28,2026-08-28 15:24,1,True,92,Ji-soo,BRE,DEF,4.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,108,192,0.0,,,,-13.4,-1
2026-08-28,2026-08-28 15:24,1,True,93,Schuster,BRE,DEF,4.5,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,137,1121,0.0,,,,-24.8,-2
2026-08-28,2026-08-28 15:24,1,True,94,Schade,BRE,MID,6.0,3.5,3.0,3,3,3.0,90,1,0,0,0.52,0.01,0.53,9,9.0,0,2.2,Available,,22819,23929,0.0,2.0,,,1.0,1
2026-08-28,2026-08-28 15:24,1,True,95,O.Dango,BRE,MID,6.5,1.1,3.0,3,3,3.0,66,1,0,0,0.05,0.29,0.34,6,8.18,0,2.3,Available,,6951,10094,0.0,,2.0,,-8.5,-1
2026-08-28,2026-08-28 15:24,1,True,96,Damsgaard,BRE,MID,5.5,0.5,1.0,1,1,1.0,14,0,0,0,0.0,0.11,0.11,4,25.71,0,2.0,Available,,2153,7084,0.0,,3.0,3.0,-42.5,-3
2026-08-28,2026-08-28 15:24,1,True,97,Jensen,BRE,MID,5.5,0.2,6.0,6,6,6.0,66,1,0,1,0.08,0.34,0.42,5,6.82,0,2.0,Available,,3582,1257,0.0,3.0,1.0,2.0,1.3,1
2026-08-28,2026-08-28 15:24,1,True,98,Janelt,BRE,MID,5.0,0.5,9.0,9,9,9.0,90,1,1,0,0.39,0.17,0.56,13,13.0,0,1.5,Available,,30536,4009,0.0,,4.0,,12.9,1
2026-08-28,2026-08-28 15:24,1,True,99,Milambo,BRE,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,Injured,0.0,28,44,0.0,,,,-14.7,-1
2026-08-28,2026-08-28 15:24,1,True,100,Carvalho,BRE,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.5,Available,100.0,139,239,0.0,,,,-28.8,-2
2026-08-28,2026-08-28 15:24,1,True,101,Henderson,CHE,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.1,Doubtful,75.0,208,663,0.0,,,,-32.1,-2
2026-08-28,2026-08-28 15:24,1,True,102,Yarmoliuk,BRE,MID,5.0,1.1,1.0,1,1,1.0,23,0,0,0,0.04,0.0,0.04,6,23.48,0,1.5,Available,,711,12331,0.0,,,,-41.2,-3
2026-08-28,2026-08-28 15:24,1,True,103,Dasilva,BRE,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.5,Available,,158,342,0.0,,,,-26.9,-2
2026-08-28,2026-08-28 15:24,1,True,104,Onyeka,COV,MID,5.0,0.2,2.0,2,2,2.0,90,1,0,0,0.0,0.01,0.01,9,9.0,0,1.5,Available,,2212,1483,0.0,,,,0.5,1
2026-08-28,2026-08-28 15:24,1,True,105,Anthony,BRE,MID,6.0,0.2,1.0,1,1,1.0,23,0,0,0,0.03,0.35,0.38,8,31.3,0,2.2,Available,,1867,2261,0.0,,,,-6.0,-1
2026-08-28,2026-08-28 15:24,1,True,106,Thiago,BRE,FWD,8.0,16.6,0.0,0,0,0.0,82,1,0,0,1.0,0.08,1.08,5,5.49,0,2.5,Available,,87748,131832,0.0,1.0,,,-11.8,-1
2026-08-28,2026-08-28 15:24,1,True,107,Furo,BRE,FWD,4.5,0.9,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,Available,,7784,8041,0.0,,,,0.5,1
2026-08-28,2026-08-28 15:24,1,True,108,Wilson,BRE,FWD,5.5,0.4,1.0,1,1,1.0,7,0,0,0,0.03,0.04,0.07,0,0.0,0,1.8,Available,,4116,4590,0.0,,,,-0.1,-1
2026-08-28,2026-08-28 15:24,1,True,109,Verbruggen,BHA,GKP,4.5,21.5,6.0,6,6,6.0,90,1,0,0,0.0,0.0,0.0,0,0.0,0,1.9,Available,,80421,42456,0.0,,,,10.8,1
2026-08-28,2026-08-28 15:24,1,True,110,Rushworth,COV,GKP,4.5,1.2,1.0,1,1,1.0,90,1,0,0,0.0,0.01,0.01,0,0.0,0,1.9,Available,,10002,4336,0.0,,,,3.0,1
2026-08-28,2026-08-28 15:24,1,True,111,Steele,BHA,GKP,4.0,4.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,Available,,10112,13273,0.0,,,,-2.6,-1
2026-08-28,2026-08-28 15:24,1,True,112,Van Hecke,TOT,DEF,5.0,9.6,1.0,1,1,1.0,90,1,0,0,0.0,0.03,0.03,9,9.0,0,2.2,Available,,35436,93384,0.0,,,,-23.4,-2
2026-08-28,2026-08-28 15:24,1,True,113,F.Kadıoğlu,BHA,DEF,4.5,2.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,100.0,2470,49489,0.0,,3.0,,-104.2,-5
2026-08-28,2026-08-28 15:24,1,True,114,Boscagli,BHA,DEF,4.5,0.3,6.0,6,6,6.0,90,1,0,0,0.0,0.04,0.04,6,6.0,0,1.7,Available,,3862,1455,0.0,,,,1.1,1
2026-08-28,2026-08-28 15:24,1,True,115,De Cuyper,BHA,DEF,4.6,8.2,17.0,17,17,17.0,77,1,1,1,1.47,0.21,1.68,4,4.68,2,1.9,Available,,473093,19869,0.1,,2.0,4.0,21.4,2
2026-08-28,2026-08-28 15:24,1,True,116,Dunk,BHA,DEF,4.5,1.2,6.0,6,6,6.0,90,1,0,0,0.0,0.04,0.04,2,2.0,0,1.7,Available,,12628,4982,0.0,,,3.0,3.8,1
2026-08-28,2026-08-28 15:24,1,True,117,Coppola,BHA,DEF,4.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,183,215,0.0,,,,-2.5,-1
2026-08-28,2026-08-28 15:24,1,True,118,Igor,BHA,DEF,4.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.7,Available,,455,842,0.0,,,,-19.0,-1
